Designator,Footprint,Quantity,Value,LCSC Part #
AT2,SOP254P960X420-4N,1,PC81710NIP1B,
C11,CAPC3216X170N,1,100nF 25V,
C20,1206,1,100nF,
C21,CAPC3216X170N,1,1uF 25V capasitor,
C22,CAPPRD200W50D525H1250,1,47uF,
C23,CAPC3216X94N,1,25V 2200pF,
C26,B32021__13_x_4_,1,2.2nF 300Vac Y2,
C27,CAPPRD500W65D1000H1750,1,470 uF 35V capasitor,
C28,CAPC3216X170N,1,1uF 50V X7R capasitor,
C35,B32932A__18_x_7_,1,0.15UF X2,
C4,0805,1,220pF,
C5,CAPPRD500W80D1275H2650,1,33UF 400V,
C7,CAPC3216X135N,1,2200PF,
"D12, D13, D3, D8",DIOM5336X265N,4,S2M,
D15,SODFL5226X240N,1,US1M-13-F,
D16,DIOAD2510W125L750D440,1,SB3200,
D2,DIOM5336X265N,1,ES2D,
F1,WR-FSH_THT_2,1,37411000430,
FL2,B82732R2701B030,1,39mH 0.7A,
IC2,SOIC127P600X175-8N,1,UC3844D8TRG4,
IC7,SOT96P240X120-3N,1,TL431,
"J1, J2",SHDR3W100P0X762_1X3_2286X1260X2170P,2,TB005-762-03BE,
L1,INDC3216X130N,1,80R 100Mhz bobin,
Q2,NTD360N80S3Z,1,Mosfet,
"R10, R8, R9",RESC3216X60N,3,100kohm 0.25W,
"R11, R34",RESC3216X70N,2,2.2R,
R12,RESC3216X70N,1,22 ohm,
"R13, R5",RESC3016X65N,2,1K,
R25,RESC3216X75N,1,4.7 K,
R26,RESC3216X60N,1,2K,
R29,RESC3216X60N,1,2.2k ohm 0.25W,
R33,RESC6432X65N,1,47K,
R36,RESC3216X75N,1,3.3kohm 0.25W,
R6,1206,1,10K,
R7,RESC3216X75N,1,4.7k,
RT1,B57153S0___M0__,1,NTC,
RV2,B72214S2301K101,1,Varistor,
U1,TRafo,1,~,
Z2,SOD3716X135N,1,15V zener,
