Designator,Mid X,Mid Y,Rotation,Layer
AT2,118.29,-75.09,180.0,top
C11,68.104781,-62.985945,90.0,top
C20,91.284781,-75.805945,90.0,top
C21,71.044781,-62.945945,90.0,top
C22,95.7,-76.37,180.0,top
C26,118.17,-44.57,0.0,top
C27,143.76,-70.92,90.0,top
C28,146.43,-62.49,270.0,top
C35,24.105,-46.05,180.0,top
C4,73.274781,-78.685945,270.0,top
D2,118.05,-81.49,0.0,top
F1,32.95,-63.72,270.0,top
L1,73.96,-62.93,270.0,top
R10,88.604781,-75.835945,90.0,top
R25,83.22,-63.94,90.0,top
R29,143.7,-62.42,270.0,top
R33,96.064781,-53.005945,270.0,top
R6,131.67,-79.36,0.0,top
R7,70.67,-71.92,90.0,top
R8,53.26,-74.1,270.0,top
R9,53.26,-79.06,270.0,top
RT1,38.98,-80.27,0.0,top
U1,133.09,-77.68,0.0,top
